name,profit,percnet,sector,industry
3S,-355.0,-0.11,전자부품 제조업,반도체 웨이퍼 캐리어
AJ네트웍스,0.0,0.0,산업용 기계 및 장비 임대업,"렌탈(파렛트, OA장비, 건설장비)"
AK홀딩스,-2850.0,-0.14,기타 금융업,지주사업
APS홀딩스,0.0,0.0,기타 금융업,인터넷 트래픽 솔루션
AP시스템,-1950.0,-0.09,특수 목적용 기계 제조업,디스플레이 제조 장비
AP위성,950.0,0.06,통신 및 방송 장비 제조업,위성통신 단말기
BGF,-400.0,-0.07,기타 금융업,지주회사
BGF리테일,0.0,,종합 소매업,체인화 편의점
BNGT,0.0,,기계장비 및 관련 물품 도매업,"Bio 이종장기 사업, ICT 프린터 현상기"
BNK금융지주,-580.0,-0.07,기타 금융업,금융지주회사
BYC,-9000.0,-0.02,봉제의복 제조업,"메리야스,란제리 제조,도매/건축공사/부동산 임대,분양,공급"
CBI,-160.0,-0.07,자동차 신품 부품 제조업,엔진부품
CJ,-3900.0,-0.05,기타 금융업,지주회사
CJ CGV,-2850.0,-0.1,"영화, 비디오물, 방송프로그램 제작 및 배급업","영화상영,영화관 운영"
CJ ENM,-14900.0,-0.12,텔레비전 방송업,"의류, 생활주방, 가전제품, 보석, 기타"
CJ 바이오사이언스,0.0,,자연과학 및 공학 연구개발업,"생명정보 플랫폼, 마이크로바이옴 분석 서비스"
CJ대한통운,-22000.0,-0.17,도로 화물 운송업,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
CJ씨푸드,-350.0,-0.08,기타 식품 제조업,"수산물(어묵,맛살)가공품 도매,원양수산업,수출입"
CJ제일제당,-14000.0,-0.03,기타 식품 제조업,"설탕,소맥분,조미식품,육가공식품(돈육,돼지비계,돼지식용설육),대두가공식품,사료,의약품,생활화학제품 제조,도매,무역/통신판매"
CJ프레시웨이,-600.0,-0.01,음·식료품 및 담배 도매업,"식자재유통, 단체급식"
CMG제약,-350.0,-0.11,의약품 제조업,의약품
CNH,0.0,,신탁업 및 집합투자업,투자자문
CNT85,0.0,,건물설비 설치 공사업,산업설비 제조외
CS,-690.0,-0.21,통신 및 방송 장비 제조업,"이동통신중계기, 위성방송(DMB)중계기(Gap-Filler)"
CSA 코스믹,0.0,,기타 화학제품 제조업,화장품 제조 및 판매
CS홀딩스,-2800.0,-0.04,기타 금융업,"브랜드 수익, 자회사 배당"
DB,0.0,,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리"
DB금융투자,0.0,,금융 지원 서비스업,"유가증권,위탁매매,인수,자기매매"
DB손해보험,-2400.0,-0.04,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험"
DB하이텍,-3700.0,-0.05,반도체 제조업,반도체 제조
DGB금융지주,-230.0,-0.03,기타 금융업,지주회사
